place_id,review_url,promo_code,task_hint_ru,task_hint_en,name_en,partner_slug,place_name_hint,maps_url_hint
181,https://www.instagram.com/p/DYWfiL8uCDx/,,,,,nastya_mavi,Tiflis Canggu,https://maps.app.goo.gl/w5PsjQvXhsSvncwe6
182,https://www.instagram.com/p/C_4l6odSURX/,,,,,dimin10,Tiflis Umalas,https://maps.app.goo.gl/yKhd7ygv8w5EWwr76
184,https://www.instagram.com/p/DX3XmLAvejZ/,,,,,dimin10,Svaha Spa Bisma,https://maps.app.goo.gl/xofPh7Ub8Up62CWL8
183,https://www.instagram.com/p/DXdAbdLkvKU/,,,,,dimin10,Madam Lee Korean BBQ,https://maps.app.goo.gl/jBrehhSxMNwoxons8
